state,district,year,education_literacy_rate,healthcare_doctor_patient_ratio,infrastructure_road_density,digital_financial_inclusion_rate
Jammu And Kashmir,Bandipore,2022,54.17,53.67,59.88,51.42
Jammu And Kashmir,Bandipore,2023,56.0,56.6,63.53,55.81
Jammu And Kashmir,Bandipore,2024,56.78,57.84,65.09,57.68
Jammu And Kashmir,Bandipore,2025,55.16,55.25,61.85,53.79
Jammu And Kashmir,Bandipore,2026,55.6,55.95,62.72,54.84
Jammu And Kashmir,Srinagar,2020,62.98,66.47,67.98,66.09
Jammu And Kashmir,Srinagar,2021,66.14,71.52,74.31,73.68
Jammu And Kashmir,Srinagar,2022,68.49,75.28,79.0,79.31
Jammu And Kashmir,Srinagar,2023,68.87,75.89,79.76,80.23
Jammu And Kashmir,Srinagar,2024,67.24,73.29,76.51,76.32
Jammu And Kashmir,Srinagar,2025,65.59,70.64,73.2,72.35
Jammu And Kashmir,Srinagar,2026,71.43,79.99,84.88,86.37
Jammu And Kashmir,Ganderbal,2020,52.46,47.58,58.34,46.22
Jammu And Kashmir,Ganderbal,2021,53.85,49.81,61.13,49.57
Jammu And Kashmir,Ganderbal,2022,52.08,46.97,57.58,45.31
Jammu And Kashmir,Ganderbal,2023,52.79,48.11,59.01,47.02
Jammu And Kashmir,Ganderbal,2024,57.12,55.04,67.67,57.42
Jammu And Kashmir,Ganderbal,2025,55.53,52.49,64.48,53.59
Jammu And Kashmir,Ganderbal,2026,55.41,52.3,64.23,53.29
Jammu And Kashmir,Pulwama,2020,54.87,35.68,48.34,44.3
Jammu And Kashmir,Pulwama,2021,56.29,37.95,51.18,47.71
Jammu And Kashmir,Pulwama,2022,57.07,39.21,52.75,49.59
Jammu And Kashmir,Pulwama,2023,60.66,44.95,59.93,58.21
Jammu And Kashmir,Pulwama,2024,58.95,42.22,56.51,54.11
Jammu And Kashmir,Pulwama,2025,58.27,41.13,55.15,52.47
Jammu And Kashmir,Pulwama,2026,60.83,45.22,60.26,58.61
Jammu And Kashmir,Shupiyan,2020,57.92,42.31,56.9,57.71
Jammu And Kashmir,Shupiyan,2021,57.45,41.56,55.97,56.59
Jammu And Kashmir,Shupiyan,2022,56.67,40.32,54.41,54.72
Jammu And Kashmir,Shupiyan,2023,56.11,39.42,53.29,53.38
Jammu And Kashmir,Shupiyan,2024,55.36,38.23,51.8,51.59
Jammu And Kashmir,Shupiyan,2025,61.17,47.52,63.41,65.52
Jammu And Kashmir,Shupiyan,2026,57.21,41.18,55.49,56.01
Jammu And Kashmir,Anantnag,2020,57.14,39.64,54.5,52.73
Jammu And Kashmir,Anantnag,2021,54.15,34.86,48.53,45.57
Jammu And Kashmir,Anantnag,2022,53.91,34.47,48.05,44.98
Jammu And Kashmir,Anantnag,2023,56.91,39.27,54.04,52.18
Jammu And Kashmir,Anantnag,2024,58.38,41.63,56.99,55.71
Jammu And Kashmir,Anantnag,2025,57.66,40.48,55.55,53.99
Jammu And Kashmir,Anantnag,2026,58.33,41.55,56.89,55.59
Jammu And Kashmir,Kulgam,2020,54.84,34.57,50.72,54.35
Jammu And Kashmir,Kulgam,2021,52.26,30.44,45.57,48.17
Jammu And Kashmir,Kulgam,2022,54.09,33.37,49.23,52.56
Jammu And Kashmir,Kulgam,2023,57.84,39.37,56.73,61.56
Jammu And Kashmir,Kulgam,2024,57.95,39.54,56.94,61.82
Jammu And Kashmir,Kulgam,2025,56.01,36.44,53.07,57.17
Jammu And Kashmir,Kulgam,2026,58.45,40.34,57.94,63.01
Jammu And Kashmir,Doda,2020,57.51,23.77,54.41,44.96
Jammu And Kashmir,Doda,2021,59.93,27.63,59.24,50.76
Jammu And Kashmir,Doda,2022,61.4,29.99,62.18,54.29
Jammu And Kashmir,Doda,2023,56.9,22.78,53.18,43.48
Jammu And Kashmir,Doda,2024,61.31,29.85,62.01,54.09
Jammu And Kashmir,Doda,2025,59.21,26.48,57.8,49.03
Jammu And Kashmir,Doda,2026,62.91,32.4,65.2,57.91
Jammu And Kashmir,Ramban,2020,46.51,16.6,43.77,37.04
Jammu And Kashmir,Ramban,2021,50.03,22.23,50.81,45.49
Jammu And Kashmir,Ramban,2022,49.85,21.95,50.45,45.06
Jammu And Kashmir,Ramban,2023,52.72,26.53,56.18,51.93
Jammu And Kashmir,Ramban,2024,48.33,19.51,47.41,41.41
Jammu And Kashmir,Ramban,2025,50.56,23.08,51.87,46.76
Jammu And Kashmir,Ramban,2026,47.71,18.53,46.18,39.93
Jammu And Kashmir,Kishtwar,2020,49.97,19.12,37.44,30.66
Jammu And Kashmir,Kishtwar,2021,49.53,18.41,36.56,29.61
Jammu And Kashmir,Kishtwar,2022,50.77,20.4,39.04,32.58
Jammu And Kashmir,Kishtwar,2023,55.27,27.61,48.05,43.4
Jammu And Kashmir,Kishtwar,2024,54.74,26.76,46.99,42.13
Jammu And Kashmir,Kishtwar,2025,55.22,27.52,47.95,43.28
Jammu And Kashmir,Kishtwar,2026,56.61,29.74,50.72,46.6
Jammu And Kashmir,Udhampur,2020,63.28,18.17,50.76,47.86
Jammu And Kashmir,Udhampur,2021,63.45,18.44,51.09,48.25
Jammu And Kashmir,Udhampur,2022,65.24,21.3,54.66,52.54
Jammu And Kashmir,Udhampur,2023,66.19,22.83,56.58,54.83
Jammu And Kashmir,Udhampur,2024,66.21,22.86,56.62,54.88
Jammu And Kashmir,Udhampur,2025,64.25,19.72,52.69,50.17
Jammu And Kashmir,Udhampur,2026,63.61,18.7,51.42,48.65
Jammu And Kashmir,Reasi,2020,53.21,16.32,40.04,39.58
Jammu And Kashmir,Reasi,2021,50.65,12.22,34.91,33.43
Jammu And Kashmir,Reasi,2022,54.26,17.99,42.13,42.09
Jammu And Kashmir,Reasi,2023,54.2,17.9,42.0,41.94
Jammu And Kashmir,Reasi,2024,51.64,13.81,36.9,35.82
Jammu And Kashmir,Reasi,2025,54.09,17.72,41.79,41.68
Jammu And Kashmir,Reasi,2026,55.32,19.69,44.25,44.64
Jammu And Kashmir,Jammu,2020,80.39,42.04,70.77,62.55
Jammu And Kashmir,Jammu,2021,76.86,36.39,63.7,54.07
Jammu And Kashmir,Jammu,2022,77.71,37.75,65.41,56.12
Jammu And Kashmir,Jammu,2023,77.7,37.73,65.39,56.09
Jammu And Kashmir,Jammu,2024,82.15,44.86,74.3,66.78
Jammu And Kashmir,Jammu,2025,80.98,42.99,71.96,63.97
Jammu And Kashmir,Jammu,2026,78.27,38.66,66.54,57.47
Jammu And Kashmir,Samba,2020,76.15,25.45,62.75,55.47
Jammu And Kashmir,Samba,2021,77.75,28.01,65.95,59.31
Jammu And Kashmir,Samba,2022,76.59,26.16,63.64,56.53
Jammu And Kashmir,Samba,2023,79.88,31.42,70.21,64.43
Jammu And Kashmir,Samba,2024,80.49,32.4,71.44,65.9
Jammu And Kashmir,Samba,2025,78.1,28.57,66.65,60.15
Jammu And Kashmir,Samba,2026,80.19,31.92,70.84,65.18
Himachal Pradesh,Chamba,2020,66.94,33.53,57.09,47.88
Himachal Pradesh,Chamba,2021,67.17,33.9,57.55,48.43
Himachal Pradesh,Chamba,2022,66.5,32.83,56.21,46.83
Himachal Pradesh,Chamba,2023,65.74,31.61,54.69,45.01
Himachal Pradesh,Chamba,2024,71.64,41.06,66.5,59.17
Himachal Pradesh,Chamba,2025,70.4,39.07,64.01,56.19
Himachal Pradesh,Chamba,2026,69.02,36.86,61.25,52.88
Himachal Pradesh,Kangra,2020,79.26,39.8,58.47,50.73
Himachal Pradesh,Kangra,2021,83.14,46.0,66.23,60.05
Himachal Pradesh,Kangra,2022,82.09,44.32,64.13,57.52
Himachal Pradesh,Kangra,2023,83.82,47.09,67.59,61.67
Himachal Pradesh,Kangra,2024,80.58,41.91,61.11,53.9
Himachal Pradesh,Kangra,2025,85.75,50.18,71.45,66.3
Himachal Pradesh,Kangra,2026,85.14,49.2,70.23,64.84
Himachal Pradesh,Lahul And Spiti,2020,73.89,37.5,41.58,39.88
Himachal Pradesh,Lahul And Spiti,2021,73.51,36.89,40.83,38.97
Himachal Pradesh,Lahul And Spiti,2022,75.41,39.93,44.63,43.53
Himachal Pradesh,Lahul And Spiti,2023,75.72,40.42,45.24,44.27
Himachal Pradesh,Lahul And Spiti,2024,75.48,40.04,44.76,43.7
Himachal Pradesh,Lahul And Spiti,2025,79.43,46.36,52.66,53.18
Himachal Pradesh,Lahul And Spiti,2026,76.16,41.13,46.13,45.34
Himachal Pradesh,Kullu,2020,75.89,38.59,59.65,55.61
Himachal Pradesh,Kullu,2021,74.66,36.62,57.19,52.66
Himachal Pradesh,Kullu,2022,77.23,40.73,62.33,58.82
Himachal Pradesh,Kullu,2023,75.37,37.76,58.61,54.36
Himachal Pradesh,Kullu,2024,79.79,44.83,67.45,64.97
Himachal Pradesh,Kullu,2025,78.72,43.13,65.32,62.42
Himachal Pradesh,Kullu,2026,80.3,45.65,68.48,66.2
Himachal Pradesh,Mandi,2020,79.04,49.96,59.65,53.17
Himachal Pradesh,Mandi,2021,79.18,50.18,59.92,53.5
Himachal Pradesh,Mandi,2022,75.47,44.25,52.5,44.6
Himachal Pradesh,Mandi,2023,75.93,44.98,53.42,45.69
Himachal Pradesh,Mandi,2024,78.74,49.49,59.05,52.46
Himachal Pradesh,Mandi,2025,81.44,53.8,64.44,58.92
Himachal Pradesh,Mandi,2026,81.47,53.85,64.5,58.99
Himachal Pradesh,Hamirpur,2020,82.54,50.48,56.86,51.83
Himachal Pradesh,Hamirpur,2021,82.5,50.43,56.79,51.74
Himachal Pradesh,Hamirpur,2022,85.5,55.22,62.78,58.94
Himachal Pradesh,Hamirpur,2023,83.83,52.54,59.43,54.92
Himachal Pradesh,Hamirpur,2024,87.98,59.19,67.74,64.89
Himachal Pradesh,Hamirpur,2025,88.67,60.3,69.13,66.56
Himachal Pradesh,Hamirpur,2026,87.25,58.02,66.28,63.14
Himachal Pradesh,Una,2020,80.08,37.62,58.38,52.33
Himachal Pradesh,Una,2021,81.07,39.21,60.37,54.71
Himachal Pradesh,Una,2022,82.73,41.87,63.7,58.71
Himachal Pradesh,Una,2023,82.56,41.6,63.35,58.29
Himachal Pradesh,Una,2024,82.14,40.92,62.51,57.28
Himachal Pradesh,Una,2025,85.66,46.55,69.54,65.72
Himachal Pradesh,Una,2026,85.02,45.53,68.27,64.2
Himachal Pradesh,Bilaspur,2020,80.31,42.56,58.15,52.72
Himachal Pradesh,Bilaspur,2021,78.82,40.18,55.16,49.14
Himachal Pradesh,Bilaspur,2022,81.37,44.26,60.26,55.26
Himachal Pradesh,Bilaspur,2023,79.78,41.71,57.08,51.44
Himachal Pradesh,Bilaspur,2024,82.33,45.79,62.19,57.57
Himachal Pradesh,Bilaspur,2025,84.38,49.07,66.28,62.48
Himachal Pradesh,Bilaspur,2026,83.11,47.05,63.75,59.45
Himachal Pradesh,Solan,2020,79.5,46.12,60.37,58.06
Himachal Pradesh,Solan,2021,77.61,43.09,56.57,53.51
Himachal Pradesh,Solan,2022,80.48,47.69,62.33,60.41
Himachal Pradesh,Solan,2023,79.12,45.51,59.6,57.13
Himachal Pradesh,Solan,2024,81.8,49.8,64.96,63.57
Himachal Pradesh,Solan,2025,81.6,49.48,64.56,63.09
Himachal Pradesh,Solan,2026,82.67,51.19,66.7,65.66
Himachal Pradesh,Sirmaur,2020,74.67,41.32,60.08,54.2
Himachal Pradesh,Sirmaur,2021,71.03,35.5,52.8,45.46
Himachal Pradesh,Sirmaur,2022,74.0,40.25,58.75,52.59
Himachal Pradesh,Sirmaur,2023,76.21,43.79,63.17,57.89
Himachal Pradesh,Sirmaur,2024,74.85,41.6,60.44,54.62
Himachal Pradesh,Sirmaur,2025,73.49,39.42,57.71,51.35
Himachal Pradesh,Sirmaur,2026,78.83,47.97,68.4,64.17
Himachal Pradesh,Shimla,2020,78.58,38.24,52.69,51.07
Himachal Pradesh,Shimla,2021,81.6,43.08,58.73,58.32
Himachal Pradesh,Shimla,2022,81.1,42.27,57.73,57.11
Himachal Pradesh,Shimla,2023,81.46,42.85,58.45,57.98
Himachal Pradesh,Shimla,2024,83.97,46.86,63.46,63.99
Himachal Pradesh,Shimla,2025,83.47,46.05,62.46,62.78
Himachal Pradesh,Shimla,2026,86.33,50.63,68.17,69.65
Himachal Pradesh,Kinnaur,2020,74.46,34.06,44.75,42.53
Himachal Pradesh,Kinnaur,2021,78.83,41.06,53.49,53.02
Himachal Pradesh,Kinnaur,2022,75.77,36.16,47.36,45.67
Himachal Pradesh,Kinnaur,2023,80.12,43.12,56.07,56.12
Himachal Pradesh,Kinnaur,2024,78.41,40.38,52.64,52.0
Himachal Pradesh,Kinnaur,2025,77.86,39.49,51.53,50.67
Himachal Pradesh,Kinnaur,2026,76.22,36.87,48.26,46.74
Punjab,Gurdaspur,2020,77.45,52.82,80.46,70.6
Punjab,Gurdaspur,2021,75.82,50.21,77.21,66.69
Punjab,Gurdaspur,2022,79.36,55.87,84.28,75.18
Punjab,Gurdaspur,2023,74.51,48.11,74.58,63.54
Punjab,Gurdaspur,2024,77.94,53.6,81.44,71.77
Punjab,Gurdaspur,2025,80.28,57.34,86.12,77.39
Punjab,Gurdaspur,2026,82.1,60.27,89.77,81.77
Punjab,Kapurthala,2020,75.66,60.62,71.58,67.4
Punjab,Kapurthala,2021,76.96,62.69,74.18,70.51
Punjab,Kapurthala,2022,74.37,58.54,68.99,64.28
Punjab,Kapurthala,2023,78.8,65.63,77.85,74.92
Punjab,Kapurthala,2024,78.47,65.11,77.2,74.14
Punjab,Kapurthala,2025,76.05,61.23,72.36,68.32
Punjab,Kapurthala,2026,78.63,65.36,77.51,74.51
Punjab,Jalandhar,2020,79.66,64.59,74.39,69.45
Punjab,Jalandhar,2021,77.15,60.58,69.38,63.44
Punjab,Jalandhar,2022,77.1,60.49,69.27,63.3
Punjab,Jalandhar,2023,82.23,68.71,79.54,75.63
Punjab,Jalandhar,2024,82.76,69.55,80.59,76.88
Punjab,Jalandhar,2025,84.31,72.03,83.69,80.6
Punjab,Jalandhar,2026,83.74,71.13,82.56,79.25
Punjab,Hoshiarpur,2020,79.74,44.8,66.28,60.4
Punjab,Hoshiarpur,2021,78.14,42.25,63.09,56.57
Punjab,Hoshiarpur,2022,80.85,46.58,68.5,63.06
Punjab,Hoshiarpur,2023,80.12,45.42,67.05,61.33
Punjab,Hoshiarpur,2024,85.11,53.4,77.03,73.29
Punjab,Hoshiarpur,2025,79.89,45.05,66.6,60.78
Punjab,Hoshiarpur,2026,79.58,44.55,65.97,60.03
Punjab,Shahid Bhagat Singh Nagar,2020,75.84,45.96,62.49,57.84
Punjab,Shahid Bhagat Singh Nagar,2021,74.86,44.39,60.53,55.49
Punjab,Shahid Bhagat Singh Nagar,2022,78.27,49.83,67.34,63.66
Punjab,Shahid Bhagat Singh Nagar,2023,80.01,52.62,70.81,67.83
Punjab,Shahid Bhagat Singh Nagar,2024,80.05,52.68,70.89,67.92
Punjab,Shahid Bhagat Singh Nagar,2025,78.5,50.2,67.79,64.21
Punjab,Shahid Bhagat Singh Nagar,2026,82.45,56.52,75.7,73.69
Punjab,Fatehgarh Sahib,2020,75.34,64.05,73.7,66.7
Punjab,Fatehgarh Sahib,2021,74.5,62.72,72.03,64.7
Punjab,Fatehgarh Sahib,2022,76.18,65.41,75.39,68.73
Punjab,Fatehgarh Sahib,2023,77.88,68.13,78.79,72.81
Punjab,Fatehgarh Sahib,2024,79.03,69.96,81.08,75.56
Punjab,Fatehgarh Sahib,2025,77.74,67.9,78.5,72.46
Punjab,Fatehgarh Sahib,2026,79.16,70.18,81.35,75.88
Punjab,Ludhiana,2020,76.19,69.24,73.89,65.75
Punjab,Ludhiana,2021,79.5,74.53,80.51,73.69
Punjab,Ludhiana,2022,76.73,70.11,74.98,67.06
Punjab,Ludhiana,2023,79.04,73.81,79.6,72.6
Punjab,Ludhiana,2024,82.1,78.7,85.71,79.94
Punjab,Ludhiana,2025,78.44,72.84,78.39,71.15
Punjab,Ludhiana,2026,83.89,81.56,89.29,84.22
Punjab,Moga,2020,66.81,64.12,71.1,63.05
Punjab,Moga,2021,68.08,66.14,73.62,66.08
Punjab,Moga,2022,69.28,68.06,76.02,68.96
Punjab,Moga,2023,67.53,65.26,72.52,64.76
Punjab,Moga,2024,70.86,70.58,79.18,72.75
Punjab,Moga,2025,69.54,68.48,76.55,69.6
Punjab,Moga,2026,70.4,69.85,78.27,71.65
Punjab,Firozpur,2020,63.34,59.1,75.29,64.69
Punjab,Firozpur,2021,66.12,63.55,80.85,71.36
Punjab,Firozpur,2022,66.41,64.0,81.42,72.04
Punjab,Firozpur,2023,67.55,65.82,83.7,74.78
Punjab,Firozpur,2024,68.27,66.98,85.14,76.51
Punjab,Firozpur,2025,67.94,66.44,84.48,75.71
Punjab,Firozpur,2026,66.53,64.2,81.67,72.34
Punjab,Muktsar,2020,64.19,69.21,86.31,74.68
Punjab,Muktsar,2021,65.42,71.17,88.76,77.62
Punjab,Muktsar,2022,64.1,69.07,86.14,74.47
Punjab,Muktsar,2023,61.74,65.29,81.4,68.79
Punjab,Muktsar,2024,61.99,65.69,81.91,69.4
Punjab,Muktsar,2025,64.72,70.07,87.38,75.96
Punjab,Muktsar,2026,64.19,69.21,86.31,74.69
Punjab,Faridkot,2020,64.18,66.84,76.35,66.13
Punjab,Faridkot,2021,67.1,71.51,82.19,73.13
Punjab,Faridkot,2022,67.38,71.95,82.74,73.79
Punjab,Faridkot,2023,69.39,75.16,86.76,78.61
Punjab,Faridkot,2024,67.87,72.74,83.73,74.98
Punjab,Faridkot,2025,69.44,75.26,86.87,78.75
Punjab,Faridkot,2026,70.89,77.57,89.76,82.22
Punjab,Bathinda,2020,66.94,75.14,84.05,75.15
Punjab,Bathinda,2021,65.53,72.89,81.23,71.76
Punjab,Bathinda,2022,65.23,72.4,80.63,71.04
Punjab,Bathinda,2023,65.18,72.33,80.53,70.92
Punjab,Bathinda,2024,69.43,79.13,89.03,81.12
Punjab,Bathinda,2025,70.37,80.64,90.92,83.39
Punjab,Bathinda,2026,68.98,78.41,88.13,80.04
Punjab,Mansa,2020,57.7,54.97,76.68,63.38
Punjab,Mansa,2021,59.78,58.31,80.85,68.39
Punjab,Mansa,2022,62.0,61.86,85.28,73.71
Punjab,Mansa,2023,61.78,61.52,84.86,73.2
Punjab,Mansa,2024,63.53,64.31,88.35,77.39
Punjab,Mansa,2025,62.21,62.19,85.7,74.21
Punjab,Mansa,2026,63.16,63.71,87.6,76.49
Punjab,Patiala,2020,69.78,64.55,74.13,65.76
Punjab,Patiala,2021,71.41,67.16,77.38,69.67
Punjab,Patiala,2022,69.94,64.81,74.45,66.15
Punjab,Patiala,2023,75.02,72.93,84.6,78.33
Punjab,Patiala,2024,72.04,68.17,78.65,71.19
Punjab,Patiala,2025,75.51,73.73,85.59,79.52
Punjab,Patiala,2026,73.65,70.75,81.87,75.06
Punjab,Amritsar,2020,70.01,61.17,74.52,63.12
Punjab,Amritsar,2021,71.21,63.09,76.92,65.99
Punjab,Amritsar,2022,71.83,64.07,78.15,67.47
Punjab,Amritsar,2023,74.9,68.99,84.3,74.85
Punjab,Amritsar,2024,74.83,68.88,84.16,74.68
Punjab,Amritsar,2025,74.17,67.81,82.83,73.08
Punjab,Amritsar,2026,77.91,73.8,90.32,82.07
Punjab,Tarn Taran,2020,65.91,61.24,82.66,73.71
Punjab,Tarn Taran,2021,64.5,58.99,79.84,70.33
Punjab,Tarn Taran,2022,64.12,58.38,79.08,69.41
Punjab,Tarn Taran,2023,66.58,62.32,84.0,75.31
Punjab,Tarn Taran,2024,68.26,65.01,87.37,79.36
Punjab,Tarn Taran,2025,69.01,66.21,88.87,81.16
Punjab,Tarn Taran,2026,69.19,66.51,89.23,81.6
Punjab,Rupnagar,2020,79.93,52.75,74.86,70.42
Punjab,Rupnagar,2021,80.19,53.17,75.39,71.06
Punjab,Rupnagar,2022,80.21,53.2,75.44,71.11
Punjab,Rupnagar,2023,79.07,51.37,73.14,68.35
Punjab,Rupnagar,2024,80.83,54.19,76.67,72.59
Punjab,Rupnagar,2025,80.57,53.77,76.15,71.96
Punjab,Rupnagar,2026,81.92,55.94,78.85,75.21
Punjab,Sahibzada Ajit Singh Nagar,2020,76.96,58.19,71.57,66.29
Punjab,Sahibzada Ajit Singh Nagar,2021,80.16,63.31,77.97,73.98
Punjab,Sahibzada Ajit Singh Nagar,2022,78.24,60.24,74.13,69.36
Punjab,Sahibzada Ajit Singh Nagar,2023,77.07,58.37,71.79,66.56
Punjab,Sahibzada Ajit Singh Nagar,2024,79.28,61.9,76.2,71.86
Punjab,Sahibzada Ajit Singh Nagar,2025,78.09,60.0,73.83,69.01
Punjab,Sahibzada Ajit Singh Nagar,2026,81.44,65.36,80.53,77.05
Punjab,Sangrur,2020,64.34,63.97,75.66,65.36
Punjab,Sangrur,2021,64.78,64.68,76.54,66.43
Punjab,Sangrur,2022,63.75,63.02,74.47,63.94
Punjab,Sangrur,2023,67.01,68.24,80.99,71.77
Punjab,Sangrur,2024,66.77,67.86,80.52,71.21
Punjab,Sangrur,2025,70.94,74.53,88.86,81.21
Punjab,Sangrur,2026,67.7,69.35,82.38,73.43
Punjab,Barnala,2020,63.92,65.41,76.46,65.29
Punjab,Barnala,2021,66.54,69.6,81.7,71.59
Punjab,Barnala,2022,63.26,64.35,75.13,63.7
Punjab,Barnala,2023,68.64,72.95,85.88,76.6
Punjab,Barnala,2024,69.71,74.67,88.03,79.18
Punjab,Barnala,2025,65.05,67.21,78.71,68.0
Punjab,Barnala,2026,65.58,68.07,79.78,69.28
Chandigarh,Chandigarh,2020,79.94,74.85,84.75,79.02
Chandigarh,Chandigarh,2021,80.14,75.17,85.14,79.49
Chandigarh,Chandigarh,2022,80.14,75.17,85.15,79.5
Chandigarh,Chandigarh,2023,81.9,77.98,88.66,83.71
Chandigarh,Chandigarh,2024,79.71,74.49,84.29,78.47
Chandigarh,Chandigarh,2025,81.18,76.84,87.23,82.0
Chandigarh,Chandigarh,2026,82.71,79.28,90.28,85.66
Uttarakhand,Uttarkashi,2020,69.14,30.36,51.35,45.02
Uttarakhand,Uttarkashi,2021,68.83,29.86,50.72,44.27
Uttarakhand,Uttarkashi,2022,69.05,30.21,51.16,44.79
Uttarakhand,Uttarkashi,2023,71.87,34.74,56.82,51.58
Uttarakhand,Uttarkashi,2024,74.12,38.33,61.31,56.97
Uttarakhand,Uttarkashi,2025,69.46,30.87,51.98,45.78
Uttarakhand,Uttarkashi,2026,73.42,37.2,59.9,55.28
Uttarakhand,Chamoli,2020,74.43,28.92,43.96,38.4
Uttarakhand,Chamoli,2021,77.29,33.49,49.67,45.25
Uttarakhand,Chamoli,2022,76.15,31.67,47.4,42.52
Uttarakhand,Chamoli,2023,78.75,35.82,52.59,48.75
Uttarakhand,Chamoli,2024,78.46,35.37,52.03,48.08
Uttarakhand,Chamoli,2025,81.54,40.29,58.18,55.46
Uttarakhand,Chamoli,2026,78.05,34.72,51.21,47.09
Uttarakhand,Rudraprayag,2020,73.37,28.64,47.61,40.95
Uttarakhand,Rudraprayag,2021,74.83,30.99,50.55,44.47
Uttarakhand,Rudraprayag,2022,75.53,32.1,51.94,46.15
Uttarakhand,Rudraprayag,2023,78.16,36.3,57.19,52.44
Uttarakhand,Rudraprayag,2024,76.45,33.57,53.78,48.35
Uttarakhand,Rudraprayag,2025,78.37,36.65,57.62,52.97
Uttarakhand,Rudraprayag,2026,78.1,36.21,57.08,52.31
Uttarakhand,Tehri Garhwal,2020,68.36,33.21,51.0,44.49
